VendorNumber,VendorName,PurchaseAmount,PurchaseQty,AvgPurchasePrice,ContributionPct
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",5630.88,328,18.583076923076923,0.0017492595864843394
54,AAPER ALCOHOL & CHEMICAL CO,105.07,1,105.07,3.264049398174167e-05
60,ADAMBA IMPORTS INTL INC    ,76770.25,4732,16.230878594249198,0.02384904238223854
105,ALTAMAR BRANDS LLC         ,11706.199999999999,332,35.27280701754386,0.003636586567517505
200,AMERICAN SPIRITS EXCHANGE  ,1205.16,132,9.18,0.00037438867161926137
287,APPOLO VINEYARDS LLC       ,2399.7,230,10.435,0.0007454781898542446
388,ATLANTIC IMPORTING COMPANY ,41116.32,1847,22.49187969924812,0.012772979875429375
480,BACARDI USA INC            ,17624378.72,1427075,14.256138971757073,5.475096864396078
516,BANFI PRODUCTS CORP        ,1628866.68,228103,7.386992769034454,0.5060151619453653
653,STATE WINE & SPIRITS   ,1529682.04,154092,11.007560932842365,0.4752029829694329
660,SAZERAC NORTH AMERICA INC. ,3537977.55,503931,7.692053707827944,1.099089511071782
1003,BRONCO WINE COMPANY        ,2071.9,433,5.227142857142857,0.0006436455646785054
1128,BROWN-FORMAN CORP          ,13529433.08,1006122,18.29849777404452,4.202982573751942
1189,BULLY BOY DISTILLERS       ,117928.22,5382,22.004089068825913,0.036634961027767275
1265,BLACK ROCK SPIRITS LLC     ,1152.1,82,14.049999999999999,0.00035790533088764226
1273,CALEDONIA SPIRITS INC      ,259604.7,8202,31.119832699619774,0.08064743169298422
1392,CONSTELLATION BRANDS INC   ,15573917.9,2325892,7.096472889521162,4.838111482698095
1439,CAPSTONE INTERNATIONAL     ,54.64,4,13.66,1.6974175227585084e-05
1485,CASTLE BRANDS CORP.        ,1679383.91,105220,15.756810653918388,0.5217085791128656
1587,VINEYARD BRANDS INC        ,1196162.81,171919,7.507742096091611,0.37159365186055204
1587,VINEYARD BRANDS LLC        ,10951.51,371,31.288260869565217,0.0034021385385550936
1590,DIAGEO CHATEAU ESTATE WINES,1365472.83,187841,7.347215927484623,0.42419061282808385
1601,VRANKEN AMERICA            ,208330.15,13094,17.097593643586833,0.06471874947454401
1650,Circa Wines                ,42554.34,3320,13.109098712446352,0.013219707610802215
1655,FABRIZIA SPIRITS LLC       ,358390.62,28071,12.441819656179046,0.11133574640927635
1703,ALISA CARR BEVERAGES           ,34951.68,438,98.81031746031746,0.010857905212636914
2000,SOUTHERN GLAZERS W&S OF NE ,40803.92,4198,15.433854166666668,0.012675931333315583
2000,SOUTHERN WINE & SPIRITS NE ,3699813.46,402677,10.153071772897697,1.149364604308526
2242,DELICATO VINEYARDS INC     ,1561444.6300000001,192642,9.725495714285714,0.48507018224362664
2396,BLACK PRINCE DISTILLERY INC,5971.94,807,7.4547058823529415,0.0018552114935692617
2450,DJINN SPIRITS LLC          ,48830.78,2637,19.338258928571427,0.015169513474005438
2496,DUGGANS DISTILLED PRODUCTS ,184296.5,18814,14.760224538893343,0.057252582079623617
2555,DISARONNO INTERNATIONAL LLC,1141947.85,103095,16.20870798012277,0.3547515173254768
2561,EDRINGTON AMERICAS         ,1882832.84,62542,33.597710775314226,0.5849109544365241
2876,CENTEUR IMPORTS LLC        ,6237.08,771,8.35588785046729,0.0019375784924682718
3089,SIDNEY FRANK IMPORTING CO  ,1715908.8800000001,186464,14.52981144934121,0.5330552343281345
3252,E & J GALLO WINERY         ,12289608.09,1858260,7.2583027305664745,3.817825058528683
3551,GILMANTON WINERY & VINEYARD,5393.04,516,10.451627906976745,0.001675373462104236
3664,WILLIAM GRANT & SONS INC   ,5960744.35,302685,25.688422823496424,1.8517335117814375
3924,HEAVEN HILL DISTILLERIES   ,2816661.94,352348,10.460230204030147,0.875009394700398
3950,"HOOD RIVER DISTILLERS, Inc.",24035.96,1137,20.68481927710843,0.007466885007379685
3951,HIGHLAND WINE MERCHANTS LLC,5500.32,372,15.225,0.0017087005030708416
3960,DIAGEO NORTH AMERICA INC   ,50959796.85,5459788,16.10717112022554,15.830902659114903
4380,CHARLES JACQUIN ET CIE INC ,329637.62,43947,8.510146646538711,0.10240349054692725
4425,MARTIGNETTI COMPANIES,27821473.91,2637275,11.075877373404275,8.64287286306784
4425,MARTIGNETTI COMPANIES ,40216.11,3136,14.387993197278911,0.012493325368079003
4466,AMERICAN VINTAGE BEVERAGE  ,156357.28,15778,9.896587591240875,0.04857313083507658
4550,KLIN SPIRITS LLC           ,103484.29,6840,16.097123595505618,0.03214788564718577
4692,KOBRAND CORPORATION        ,1808146.33,161002,12.357903472931563,0.5617092357711363
4848,LAIRD & CO                 ,203011.58,21422,11.531717583163612,0.06306651047124646
4901,LAUREATE IMPORTS CO        ,140.94,29,4.86,4.378367965914791e-05
4950,LATITUDE BEVERAGE COMPANY  ,316446.76,53090,5.968420351624934,0.09830568730676359
5083,LOYAL DOG WINERY           ,2320.8,240,9.67,0.0007209675305303709
5270,MANGO BOTTLING INC         ,204510.38,28414,7.2007830188679245,0.06353211980197679
5455,MARSALLE COMPANY           ,185311.19,7158,27.50803628601921,0.057567800342099434
5612,MILTONS DISTRIBUTING CO    ,1824.18,267,6.814782608695652,0.0005666901714248931
5992,MCCORMICK DISTILLING CO    ,310552.87,29788,10.868016304347826,0.09647472241598555
6213,MHW LTD                    ,1888333.01,215201,16.544299360769948,0.5866196083413832
